z_q0,z_q1,z_q2,z_q3,z_q4,z_q5,z_q6,z_q7,z_q8,z_q9,z_q10,z_q11,z_q12,z_q13,z_q14,z_q15,z_q16,z_q17,z_q18,z_q19,z_q20
3.430603540696592919e-03,-1.987651098505559613e-03,-8.180398784736800898e-04,1.187086603302190714e-03,9.274637274636457528e-04,5.064180510018639891e-04,-1.851148252498175523e-03,-1.702872663714050973e-03,-7.824522496617805026e-04,-1.030920263546196858e-03,2.340152510084958504e-04,-4.762961221980080602e-03,5.420669046227679158e-03,-1.271588199253178425e-02,1.020804010974483197e-03,-3.418287875964590682e-03,7.726774348865280036e-03,1.703018322167887573e-03,2.952239866402880594e-03,-5.532204877786941859e-03,-6.964296917023591639e-03
-7.127811230525377822e-05,-3.015483645443533915e-03,-1.319270617175008140e-03,2.231667360154745983e-05,3.843050753929657185e-03,2.575820558248378446e-03,-1.708278267832633382e-03,-2.171573706307513771e-03,-8.921187338727703999e-04,2.267378501517171557e-03,-7.114290864474494269e-04,-1.905859238739917791e-03,-4.105480187593930734e-03,3.332971859677040169e-03,-1.471939009271437801e-03,-1.260051377795672230e-03,-5.287147157706265869e-04,-1.225140285378097452e-03,2.772175649642466761e-05,-1.601143270712612234e-03,8.135957305583768878e-04
-7.380627231685235948e-04,1.462290738805436738e-03,2.547307437031017668e-03,3.794656125287858848e-04,-1.659142956903940803e-03,-7.696004690690479849e-04,1.385256959594840295e-03,-1.159348379065218383e-03,-2.562007989589595858e-05,1.141652118756487228e-03,-2.394991319294572513e-03,-3.138497803042193147e-03,2.967595682856432378e-03,7.227638411634791128e-04,4.828548499416350937e-04,-3.170095130893583676e-03,-5.730322326641044441e-03,-2.012750799045295858e-03,-3.210401201232080141e-04,-1.767952331336957155e-04,2.279848078706454666e-04
-3.789424265487556856e-04,8.224113791812995289e-04,-4.603872527822162018e-04,1.989889879410314862e-04,5.663361813729223980e-04,4.105904052175784157e-04,2.928672609925817970e-03,3.253247854338291861e-04,-2.686395412810004771e-04,-4.245022792016022633e-04,-3.062827181279892744e-03,-1.462370977310892967e-04,-8.056619092567480697e-04,-5.547703055405094541e-04,4.703646964236224632e-04,7.291325550735507739e-04,9.509285490832251496e-04,-1.909235149152311174e-03,-1.018924311485723110e-03,-2.641494755550908386e-04,-5.226657076166369223e-03
-8.038044921882578353e-03,1.455194080306325757e-03,-4.494684808782343274e-04,1.389306023428961119e-03,1.127705043351360376e-03,-4.609861169680299145e-04,-1.623680253316009403e-03,1.108049152766369273e-03,-2.134610089615072851e-04,2.207791919132671629e-03,3.316003262223640030e-03,-2.487849476303758897e-03,3.497457767993013625e-03,-2.765758476147613630e-03,2.492741316796962935e-04,-3.688639846379003842e-04,-1.344423586557892941e-03,-8.306658156746055122e-05,4.115637979538643780e-04,-2.172264398159937343e-04,5.029304944729147409e-03
-2.540107270260628328e-03,-1.450151008630117238e-03,3.932821646381486069e-03,3.992988790175480002e-03,8.694097609967721321e-04,5.448344142578252086e-03,-4.966801867495687986e-03,-1.167282924766598323e-04,2.131057740434318462e-03,-1.940746487919602862e-03,-3.483946182011409334e-03,-5.762527741795912817e-04,3.403103182184302137e-03,6.386201659260464566e-04,7.243547480562769619e-03,-2.230552148449669019e-03,-4.464044312768681308e-04,-9.382022575628010813e-03,-5.732580277280481702e-03,3.849846183773870337e-03,-1.393803857942094854e-03
7.417620320359962285e-04,8.330600259369227989e-04,2.967642838789111455e-03,-1.408537321837483600e-03,-6.366316579635845734e-04,-2.978958438629468984e-03,2.731563496365285899e-03,2.989574473837614162e-03,1.895759640277841929e-03,3.843575903759065965e-03,1.035605150617426896e-02,-3.819987218703340542e-03,1.044615598479467847e-04,-3.845194465706839107e-03,5.325764056529062006e-03,4.874898933597870791e-03,6.226666556040759935e-03,-3.641202979512770440e-04,6.198525141681086870e-03,5.682208156020380867e-04,-4.047292864685113518e-03
4.736031600579554759e-03,-1.633370385921150553e-02,5.082690997965325780e-03,9.064253579368587374e-03,1.622341686747882233e-02,5.935387045269950416e-03,-8.809561593060068543e-03,-1.736344802841262996e-02,1.708605968833787911e-03,1.792031893247615637e-02,-4.549738255915645666e-03,1.737631050283084018e-03,9.155323550206340491e-03,-3.558536467293406825e-03,-8.005994479584587972e-03,-1.625356421349958072e-02,-4.598367582042180851e-03,-1.568538239175799355e-03,-3.245352679584677120e-03,1.260529751432530599e-02,1.520208269768278178e-02
8.909756488915442432e-04,-1.461956778652253718e-03,-6.735767171524667876e-03,-1.112491431984686044e-04,4.523995868162602844e-03,5.068936847695620744e-03,3.968314698851237859e-03,-3.922783636861804611e-03,3.209611482011436642e-04,-1.842838297628319848e-03,9.620852582482696674e-04,1.795149713910092724e-03,-3.921714822031380221e-03,-5.332333033355431129e-03,-3.230863944581383648e-03,3.992566979197824731e-03,2.328035421431679918e-03,-3.196282309090320989e-03,4.283877954252912970e-03,-2.230526312145144838e-03,2.828109008108086776e-03
-4.162583689187118047e-03,-5.648928249514493377e-03,-8.792682405652826449e-04,-5.667781207056094483e-04,3.733399584417648916e-03,-2.242280967729615767e-03,4.979742831389279145e-03,-1.710583320225716065e-03,-4.178203037967636972e-03,-7.501887938218370884e-04,-6.009907683716987636e-03,-3.432716218075476666e-03,2.418565525559200884e-03,-4.544860830293646729e-03,3.261303892089662676e-04,-1.196598279295700909e-02,-1.562104370002210217e-03,4.195793342262475918e-03,-4.557187857793476744e-03,4.732011914629067305e-03,6.685116693357509923e-03
3.635226899633854907e-03,1.860742703074315645e-03,3.352340439866108909e-03,1.834997116929881029e-03,3.168601689476211857e-03,-1.349778297556263745e-03,-6.342329360905004515e-04,2.497484608716593526e-03,-8.994023154475030719e-04,-2.654720960726021260e-04,-3.571492294359331077e-04,-3.273558332581262206e-03,1.973247289805727615e-03,-5.744562151552515695e-04,-1.978093289345559877e-03,8.945087585453483439e-03,8.728353036425858316e-03,1.431456399148904688e-03,2.221802718836557704e-03,-8.876333509940453285e-04,4.007911729317118268e-03
1.320113152286521430e-03,1.033461479318481882e-03,3.571022714292321557e-04,-1.854138022860867896e-04,3.437217299388274812e-03,6.473482857886521391e-04,2.361215821380189400e-03,-3.400386881813427867e-03,-6.257194183039044852e-04,4.110811309342192292e-03,6.109704852751834947e-05,7.565180278772103833e-04,-8.141446699287940153e-05,-3.804335207237944522e-03,1.601103314343515181e-04,1.804905805344729800e-03,-2.921507389435315538e-04,3.040709556404896062e-03,-5.978245529735589248e-04,-1.024871126208018761e-03,1.505370757202519234e-03
